Item Code,Description,,U/M
050-091000,SCREW MACH 1/4 USS x 3L 18-8,,EA
050-092000,SCREW MACH 1/4 USS x 3-1/2L 18,,EA
050-092222,SCREW MACH 1/2-13 x 1-1/2 USS,,EA
050-093000,"HHCS 5/8""-11 x 1.50"" LG 18-8",,EA
050-094000,"HHCS 5/8""-11 x 2.00"" LG 18-8",,EA
050-094100,OBSOLETE SEE REMARKS,,EA
050-095000,OBSOLETE SEE REMARKS,,EA
050-095888,OBSOLETE SEE REMARKS,,EA
050-096000,"HHCS 5/8""-11 x 4.00"" LG 18-8",,EA
050-097000,"HHCS 5/8""-11 x 4.50"" LG 18-8",,EA
050-097777,"HHCS 5/8""-11 X 4.50"" LG 18-8",,EA
050-097778,"HHCS 5/8""-11 X 4.50"" LG 18-8",,EA
050-098000,"HHCS 5/8""-11 x 5.50"" LG 18-8",,EA
050-099000,"HHCS 5/8""-11 x 6.00"" LG 18-8",,EA
050-100000,"HHCS 3/8""-16 x 4.00"" LG 18-8",,EA
050-100100,"HHCS 7/16""-14 X 1.50"" LG G8",,EA
050-100275,OBSOLETE SEE REMARKS,,EA
050-100300,"BOLT  HCS 1""-8 X 3.00"" 18-8",,EA
050-100350,"BOLT  HCS 1""-8 X 3.50"" 18-8",,EA
